type,distribution,strategy,cold_ns,warm_ns,mean_balance,worst_side
i64,random_uniform,median_of_5_medians_of_3,330.0,18.1,0.5158,0.8166
i64,random_uniform,median_of_5_medians_of_5,880.0,62.5,0.4867,0.8008
i64,random_uniform,median_of_5_medians_of_5_898,510.0,64.7,0.5035,0.7661
i64,sorted_ascending,median_of_5_medians_of_3,300.0,15.9,0.5000,0.5000
i64,sorted_ascending,median_of_5_medians_of_5,620.0,35.0,0.5000,0.5000
i64,sorted_ascending,median_of_5_medians_of_5_898,340.0,49.1,0.5000,0.5000
i64,sorted_descending,median_of_5_medians_of_3,320.0,25.9,0.5000,0.5000
i64,sorted_descending,median_of_5_medians_of_5,730.0,108.1,0.5000,0.5000
i64,sorted_descending,median_of_5_medians_of_5_898,410.0,110.6,0.5000,0.5000
i64,organ_pipe,median_of_5_medians_of_3,310.0,17.5,0.5714,0.5714
i64,organ_pipe,median_of_5_medians_of_5,750.0,66.2,0.5833,0.5833
i64,organ_pipe,median_of_5_medians_of_5_898,400.0,75.0,0.0000,1.0000
i64,median_of_3_killer,median_of_5_medians_of_3,340.0,18.4,0.4464,0.6428
i64,median_of_3_killer,median_of_5_medians_of_5,750.0,52.2,0.4375,0.5833
i64,median_of_3_killer,median_of_5_medians_of_5_898,380.0,51.6,0.5000,1.0000
i64,nearly_sorted,median_of_5_medians_of_3,330.0,16.6,0.4994,0.5714
i64,nearly_sorted,median_of_5_medians_of_5,800.0,40.0,0.5046,0.5833
i64,nearly_sorted,median_of_5_medians_of_5_898,410.0,50.9,0.5000,0.5000
i64,shuffled_blocks,median_of_5_medians_of_3,300.0,15.9,0.3805,0.6195
i64,shuffled_blocks,median_of_5_medians_of_5,720.0,59.7,0.3074,0.6951
i64,shuffled_blocks,median_of_5_medians_of_5_898,550.0,49.1,0.2223,0.7777
