type,dist,p,n,algo,ns_per_elem,k_over_S,ns_per_k,ns_per_min
i64,random_uniform,0.10,65536,ref,4.2991,0.500,86.0021,86.0021
i64,random_uniform,0.10,65536,count_select,1.3038,0.500,26.0818,26.0818
i64,random_uniform,0.10,65536,fwd_key_select,0.4850,0.500,9.7015,9.7015
i64,random_uniform,0.10,65536,key_select,0.4686,0.500,9.3748,9.3748
i64,random_uniform,0.10,65536,rev_count_select,1.3447,0.500,26.8999,26.8999
i64,random_uniform,0.10,65536,key_one_part,0.4416,0.529,8.3479,9.3785
i64,random_uniform,0.10,65536,fwd_sample,0.3716,0.527,7.0542,7.8526
i64,random_uniform,0.10,65536,sample,0.3642,0.527,6.9151,7.6978
i64,random_uniform,0.10,65536,part_until,1.0550,0.426,24.7736,24.7736
i64,random_uniform,0.10,65536,rev_part_until,1.1695,0.759,15.4087,48.5389
i64,random_uniform,0.10,262144,ref,4.4557,0.500,89.1221,89.1221
i64,random_uniform,0.10,262144,count_select,0.9679,0.500,19.3591,19.3591
i64,random_uniform,0.10,262144,fwd_key_select,0.4922,0.500,9.8448,9.8448
i64,random_uniform,0.10,262144,key_select,0.4968,0.500,9.9379,9.9379
i64,random_uniform,0.10,262144,rev_count_select,1.0391,0.500,20.7838,20.7838
i64,random_uniform,0.10,262144,key_one_part,0.4461,0.476,9.3631,9.3631
i64,random_uniform,0.10,262144,fwd_sample,0.3799,0.596,6.3763,9.4001
i64,random_uniform,0.10,262144,sample,0.3749,0.596,6.2930,9.2773
i64,random_uniform,0.10,262144,part_until,0.7996,0.912,8.7652,91.2582
i64,random_uniform,0.10,262144,rev_part_until,0.8771,0.964,9.1004,243.0550
i64,random_uniform,0.10,1048576,ref,5.2045,0.500,104.0917,104.0917
i64,random_uniform,0.10,1048576,count_select,1.2562,0.500,25.1253,25.1253
i64,random_uniform,0.10,1048576,fwd_key_select,0.5603,0.500,11.2069,11.2069
i64,random_uniform,0.10,1048576,key_select,0.4998,0.500,9.9965,9.9965
i64,random_uniform,0.10,1048576,rev_count_select,1.0314,0.500,20.6288,20.6288
i64,random_uniform,0.10,1048576,key_one_part,0.4661,0.829,5.6206,27.2953
i64,random_uniform,0.10,1048576,fwd_sample,0.3985,0.617,6.4626,10.3927
i64,random_uniform,0.10,1048576,sample,0.3888,0.617,6.3059,10.1407
i64,random_uniform,0.10,1048576,part_until,0.9058,0.418,21.6910,21.6910
i64,random_uniform,0.10,1048576,rev_part_until,0.8602,0.809,10.6315,45.0663
i64,random_uniform,0.10,4194304,ref,5.6007,0.500,112.0137,112.0137
i64,random_uniform,0.10,4194304,count_select,1.4453,0.500,28.9058,28.9058
