type,n,f,p,algo,ns_per_suffix_elem,k_ratio
pair64f,65536,0.10,0.10,ref,6.0806,1.000
pair64f,65536,0.10,0.10,exact,0.4881,1.000
pair64f,65536,0.10,0.10,two_phase,0.4089,1.036
pair64f,65536,0.10,0.10,pivot_first,0.3674,1.036
pair64f,65536,0.10,0.10,ninther_first,0.4898,1.000
pair64f,65536,0.10,0.50,ref,5.7096,1.000
pair64f,65536,0.10,0.50,exact,1.1878,1.000
pair64f,65536,0.10,0.50,two_phase,0.5242,0.954
pair64f,65536,0.10,0.50,pivot_first,0.4730,0.954
pair64f,65536,0.10,0.50,ninther_first,0.4303,0.750
pair64f,65536,0.10,0.90,ref,3.8438,1.000
pair64f,65536,0.10,0.90,exact,1.5386,1.000
pair64f,65536,0.10,0.90,two_phase,0.5766,0.997
pair64f,65536,0.10,0.90,pivot_first,0.5429,0.997
pair64f,65536,0.10,0.90,ninther_first,0.5200,0.929
pair64f,65536,0.50,0.10,ref,0.9857,1.000
pair64f,65536,0.50,0.10,exact,0.5143,1.000
pair64f,65536,0.50,0.10,two_phase,0.4184,0.911
pair64f,65536,0.50,0.10,pivot_first,0.3794,0.911
pair64f,65536,0.50,0.10,ninther_first,0.5152,1.000
pair64f,65536,0.50,0.50,ref,10.2909,1.000
pair64f,65536,0.50,0.50,exact,1.2757,1.000
pair64f,65536,0.50,0.50,two_phase,0.5860,0.919
pair64f,65536,0.50,0.50,pivot_first,0.4950,0.919
pair64f,65536,0.50,0.50,ninther_first,1.2922,1.000
pair64f,65536,0.50,0.90,ref,3.9244,1.000
pair64f,65536,0.50,0.90,exact,1.7405,1.000
pair64f,65536,0.50,0.90,two_phase,0.7318,0.962
pair64f,65536,0.50,0.90,pivot_first,0.5985,0.962
pair64f,65536,0.50,0.90,ninther_first,0.5383,0.843
pair64f,65536,0.90,0.10,ref,4.6768,0.998
pair64f,65536,0.90,0.10,exact,0.4898,0.998
pair64f,65536,0.90,0.10,two_phase,0.5111,1.145
pair64f,65536,0.90,0.10,pivot_first,0.4684,1.145
pair64f,65536,0.90,0.10,ninther_first,0.4959,0.998
pair64f,65536,0.90,0.50,ref,27.1569,1.000
pair64f,65536,0.90,0.50,exact,1.2847,1.000
pair64f,65536,0.90,0.50,two_phase,0.7522,0.988
pair64f,65536,0.90,0.50,pivot_first,0.6286,0.988
pair64f,65536,0.90,0.50,ninther_first,1.2864,1.000
pair64f,65536,0.90,0.90,ref,7.9374,1.000
pair64f,65536,0.90,0.90,exact,1.6861,1.000
pair64f,65536,0.90,0.90,two_phase,0.8407,0.967
pair64f,65536,0.90,0.90,pivot_first,0.7354,0.967
pair64f,65536,0.90,0.90,ninther_first,0.4930,0.660
pair64f,1048576,0.10,0.10,ref,5.5852,1.000
pair64f,1048576,0.10,0.10,exact,0.5483,1.000
pair64f,1048576,0.10,0.10,two_phase,0.4348,0.805
pair64f,1048576,0.10,0.10,pivot_first,0.4006,0.805
pair64f,1048576,0.10,0.10,ninther_first,0.5421,1.000
pair64f,1048576,0.10,0.50,ref,4.0266,1.000
pair64f,1048576,0.10,0.50,exact,1.0884,1.000
pair64f,1048576,0.10,0.50,two_phase,0.5486,0.980
pair64f,1048576,0.10,0.50,pivot_first,0.4863,0.980
pair64f,1048576,0.10,0.50,ninther_first,1.0926,1.000
pair64f,1048576,0.10,0.90,ref,4.9411,1.000
pair64f,1048576,0.10,0.90,exact,1.4586,1.000
pair64f,1048576,0.10,0.90,two_phase,0.5804,1.033
pair64f,1048576,0.10,0.90,pivot_first,0.5447,1.033
pair64f,1048576,0.10,0.90,ninther_first,0.5360,1.094
pair64f,1048576,0.50,0.10,ref,4.5573,1.000
pair64f,1048576,0.50,0.10,exact,0.5247,1.000
pair64f,1048576,0.50,0.10,two_phase,0.4285,1.096
pair64f,1048576,0.50,0.10,pivot_first,0.3884,1.096
pair64f,1048576,0.50,0.10,ninther_first,0.5245,1.000
pair64f,1048576,0.50,0.50,ref,8.3210,1.000
