type,n,f,p,algo,ns_per_elem,ns_per_suffix_elem
pair64f,65536,0.10,0.10,scan_swap,0.6945,0.7716
pair64f,65536,0.10,0.10,gap_off,0.7248,0.8054
pair64f,65536,0.10,0.10,part_swap,0.3958,0.4398
pair64f,65536,0.10,0.10,fused_block,0.3671,0.4079
pair64f,65536,0.10,0.10,prefix_fill,0.3504,0.3893
pair64f,65536,0.10,0.10,whole,0.3853,0.4281
pair64f,65536,0.10,0.10,sized_off,0.3592,0.3991
pair64f,65536,0.10,0.50,scan_swap,2.1082,2.3425
pair64f,65536,0.10,0.50,gap_off,0.6414,0.7126
pair64f,65536,0.10,0.50,part_swap,0.5039,0.5598
pair64f,65536,0.10,0.50,fused_block,0.6358,0.7065
pair64f,65536,0.10,0.50,prefix_fill,0.5065,0.5627
pair64f,65536,0.10,0.50,whole,0.5155,0.5727
pair64f,65536,0.10,0.50,sized_off,0.4759,0.5288
pair64f,65536,0.10,0.90,scan_swap,0.7434,0.8260
pair64f,65536,0.10,0.90,gap_off,0.6418,0.7131
pair64f,65536,0.10,0.90,part_swap,0.4019,0.4466
pair64f,65536,0.10,0.90,fused_block,0.4118,0.4576
pair64f,65536,0.10,0.90,prefix_fill,0.3989,0.4432
pair64f,65536,0.10,0.90,whole,0.4703,0.5225
pair64f,65536,0.10,0.90,sized_off,0.3964,0.4405
pair64f,65536,0.50,0.10,scan_swap,0.3636,0.7273
pair64f,65536,0.50,0.10,gap_off,0.3520,0.7040
pair64f,65536,0.50,0.10,part_swap,0.2178,0.4355
pair64f,65536,0.50,0.10,fused_block,0.4410,0.8820
pair64f,65536,0.50,0.10,prefix_fill,0.2060,0.4120
pair64f,65536,0.50,0.10,whole,0.3598,0.7196
pair64f,65536,0.50,0.10,sized_off,0.1930,0.3861
pair64f,65536,0.50,0.50,scan_swap,1.0450,2.0899
pair64f,65536,0.50,0.50,gap_off,0.3526,0.7053
pair64f,65536,0.50,0.50,part_swap,0.3662,0.7325
pair64f,65536,0.50,0.50,fused_block,0.4209,0.8417
pair64f,65536,0.50,0.50,prefix_fill,0.2985,0.5970
pair64f,65536,0.50,0.50,whole,0.4883,0.9766
pair64f,65536,0.50,0.50,sized_off,0.3966,0.7932
pair64f,65536,0.50,0.90,scan_swap,0.3833,0.7666
pair64f,65536,0.50,0.90,gap_off,0.3502,0.7004
pair64f,65536,0.50,0.90,part_swap,0.4051,0.8103
pair64f,65536,0.50,0.90,fused_block,0.4704,0.9409
pair64f,65536,0.50,0.90,prefix_fill,0.3903,0.7807
pair64f,65536,0.50,0.90,whole,0.5963,1.1927
pair64f,65536,0.50,0.90,sized_off,0.3897,0.7794
pair64f,65536,0.90,0.10,scan_swap,0.0522,0.5218
pair64f,65536,0.90,0.10,gap_off,0.0723,0.7232
pair64f,65536,0.90,0.10,part_swap,0.0433,0.4333
pair64f,65536,0.90,0.10,fused_block,0.3403,3.4027
pair64f,65536,0.90,0.10,prefix_fill,0.0375,0.3753
pair64f,65536,0.90,0.10,whole,0.3441,3.4408
pair64f,65536,0.90,0.10,sized_off,0.0375,0.3753
pair64f,65536,0.90,0.50,scan_swap,0.0633,0.6332
pair64f,65536,0.90,0.50,gap_off,0.0717,0.7171
pair64f,65536,0.90,0.50,part_swap,0.0754,0.7539
pair64f,65536,0.90,0.50,fused_block,0.3482,3.4818
pair64f,65536,0.90,0.50,prefix_fill,0.0629,0.6286
pair64f,65536,0.90,0.50,whole,0.3635,3.6344
pair64f,65536,0.90,0.50,sized_off,0.0600,0.5996
pair64f,65536,0.90,0.90,scan_swap,0.0495,0.4945
pair64f,65536,0.90,0.90,gap_off,0.0697,0.6974
pair64f,65536,0.90,0.90,part_swap,0.0824,0.8239
pair64f,65536,0.90,0.90,fused_block,0.3667,3.6666
pair64f,65536,0.90,0.90,prefix_fill,0.0786,0.7858
pair64f,65536,0.90,0.90,whole,0.3922,3.9214
pair64f,65536,0.90,0.90,sized_off,0.0787,0.7873
pair64f,1048576,0.10,0.10,scan_swap,0.7672,0.8525
pair64f,1048576,0.10,0.10,gap_off,0.6604,0.7338
pair64f,1048576,0.10,0.10,part_swap,0.4531,0.5035
