type,method,n,ns_per_elem
i64,hoare,8,2.1196
i64,value,8,2.3472
i64,pred,8,2.5056
i64,pos,8,2.8272
i64,sort,8,1.2737
i64,hoare,12,2.1460
i64,value,12,1.9116
i64,pred,12,2.0616
i64,pos,12,2.8230
i64,sort,12,0.9953
i64,hoare,16,2.3043
i64,value,16,1.6503
i64,pred,16,1.7960
i64,pos,16,2.7621
i64,sort,16,1.0474
i64,hoare,21,2.4129
i64,value,21,1.4376
i64,pred,21,1.6191
i64,pos,21,2.4967
i64,sort,21,1.2396
i64,hoare,24,2.3265
i64,value,24,1.3108
i64,pred,24,1.5330
i64,pos,24,2.2586
i64,sort,24,1.3392
i64,hoare,32,2.2654
i64,value,32,1.1071
i64,pred,32,1.3596
i64,pos,32,1.9532
i64,sort,32,10.9259
i64,hoare,48,2.1682
i64,value,48,0.9391
i64,pred,48,1.1971
i64,pos,48,1.8842
i64,sort,48,16.0043
i64,hoare,64,2.1450
i64,value,64,0.8310
i64,pred,64,1.1827
i64,pos,64,1.8462
i64,sort,64,21.2891
i64,hoare,128,2.0478
i64,value,128,0.7622
i64,pred,128,1.1452
i64,pos,128,1.8810
i64,hoare,256,2.0852
i64,value,256,0.7291
i64,pred,256,1.1064
i64,pos,256,1.6074
i64,hoare,1024,2.0623
i64,value,1024,0.6874
i64,pred,1024,1.1357
i64,pos,1024,1.1386
i64,hoare,4096,1.8999
i64,value,4096,0.6505
i64,pred,4096,1.1429
i64,pos,4096,1.6161
i64,hoare,65536,2.0942
i64,value,65536,0.6517
i64,pred,65536,1.1472
i64,pos,65536,0.6514
i64,hoare,1048576,2.8190
i64,value,1048576,0.6767
i64,pred,1048576,1.1858
i64,pos,1048576,0.6692
i64,hoare,4194304,1.6334
i64,value,4194304,0.6515
i64,pred,4194304,1.1077
i64,pos,4194304,0.6529
pair64,hoare,8,3.5082
pair64,value,8,3.6478
pair64,pred,8,3.7618
pair64,pos,8,3.3903
pair64,sort,8,3.8476
pair64,hoare,12,3.3496
pair64,value,12,2.9374
pair64,pred,12,3.0661
pair64,pos,12,2.8324
pair64,sort,12,4.2551
pair64,hoare,16,3.1383
pair64,value,16,2.5309
pair64,pred,16,2.6513
pair64,pos,16,2.4630
pair64,sort,16,4.7555
pair64,hoare,21,2.9477
pair64,value,21,2.1983
