type,distribution,algorithm,n,batch,reps,median_ns_total,min_ns_total,ns_per_elem
i64,random_uniform,std_partition,4,16384,64,131343.0,130163.0,2.0041
i64,random_uniform,lomuto,4,16384,64,116663.0,115603.0,1.7801
i64,random_uniform,lomuto_branchless,4,16384,64,41661.0,41480.0,0.6357
i64,random_uniform,hoare,4,16384,64,132253.0,127983.0,2.0180
i64,random_uniform,hoare_guarded,4,16384,64,131933.0,130843.0,2.0131
i64,random_uniform,block,4,16384,64,128463.0,124643.0,1.9602
i64,random_uniform,boost_block,4,16384,64,128123.0,122913.0,1.9550
i64,random_uniform,fulcrum,4,16384,64,130963.0,127523.0,1.9983
i64,random_uniform,block_simd_amd,4,16384,64,128623.0,123832.0,1.9626
i64,random_uniform,sized,4,16384,64,44691.0,44291.0,0.6819
i64,random_uniform,std_partition,8,8192,64,133483.0,131763.0,2.0368
i64,random_uniform,lomuto,8,8192,64,127953.0,126663.0,1.9524
i64,random_uniform,lomuto_branchless,8,8192,64,40381.0,40151.0,0.6162
i64,random_uniform,hoare,8,8192,64,141193.0,139643.0,2.1544
i64,random_uniform,hoare_guarded,8,8192,64,130163.0,128753.0,1.9861
i64,random_uniform,block,8,8192,64,138763.0,137454.0,2.1174
i64,random_uniform,boost_block,8,8192,64,138714.0,135753.0,2.1166
i64,random_uniform,fulcrum,8,8192,64,138823.0,136493.0,2.1183
i64,random_uniform,block_simd_amd,8,8192,64,138983.0,135663.0,2.1207
i64,random_uniform,sized,8,8192,64,42481.0,42161.0,0.6482
i64,random_uniform,std_partition,16,4096,64,144703.0,142493.0,2.2080
i64,random_uniform,lomuto,16,4096,64,143563.0,141824.0,2.1906
i64,random_uniform,lomuto_branchless,16,4096,64,40031.0,39741.0,0.6108
i64,random_uniform,hoare,16,4096,64,154874.0,153143.0,2.3632
i64,random_uniform,hoare_guarded,16,4096,64,145213.0,143094.0,2.2158
i64,random_uniform,block,16,4096,64,149334.0,148264.0,2.2787
i64,random_uniform,boost_block,16,4096,64,105253.0,104633.0,1.6060
i64,random_uniform,fulcrum,16,4096,64,110423.0,109343.0,1.6849
i64,random_uniform,block_simd_amd,16,4096,64,107432.0,106243.0,1.6393
i64,random_uniform,sized,16,4096,64,41091.0,40631.0,0.6270
i64,random_uniform,std_partition,24,2730,64,148233.0,146414.0,2.2624
i64,random_uniform,lomuto,24,2730,64,132803.0,130653.0,2.0269
i64,random_uniform,lomuto_branchless,24,2730,64,39950.0,39830.0,0.6097
i64,random_uniform,hoare,24,2730,64,158334.0,155553.0,2.4166
i64,random_uniform,hoare_guarded,24,2730,64,160154.0,158573.0,2.4444
i64,random_uniform,block,24,2730,64,152534.0,150864.0,2.3281
i64,random_uniform,boost_block,24,2730,64,82371.0,81672.0,1.2572
i64,random_uniform,fulcrum,24,2730,64,87282.0,86622.0,1.3321
i64,random_uniform,block_simd_amd,24,2730,64,86752.0,85932.0,1.3241
i64,random_uniform,sized,24,2730,64,40911.0,40711.0,0.6244
i64,random_uniform,std_partition,64,1024,64,140833.0,139283.0,2.1489
i64,random_uniform,lomuto,64,1024,64,116073.0,114633.0,1.7711
i64,random_uniform,lomuto_branchless,64,1024,64,40111.0,39781.0,0.6120
i64,random_uniform,hoare,64,1024,64,147324.0,145634.0,2.2480
i64,random_uniform,hoare_guarded,64,1024,64,147263.0,145863.0,2.2471
i64,random_uniform,block,64,1024,64,140003.0,137603.0,2.1363
i64,random_uniform,boost_block,64,1024,64,52761.0,52171.0,0.8051
i64,random_uniform,fulcrum,64,1024,64,54091.0,53461.0,0.8254
i64,random_uniform,block_simd_amd,64,1024,64,53192.0,52552.0,0.8116
i64,random_uniform,sized,64,1024,64,40481.0,40061.0,0.6177
i64,random_uniform,std_partition,256,256,64,135173.0,134074.0,2.0626
i64,random_uniform,lomuto,256,256,64,114103.0,112773.0,1.7411
i64,random_uniform,lomuto_branchless,256,256,64,40971.0,40751.0,0.6252
i64,random_uniform,hoare,256,256,64,146383.0,145153.0,2.2336
i64,random_uniform,hoare_guarded,256,256,64,141043.0,139853.0,2.1521
i64,random_uniform,block,256,256,64,138773.0,136953.0,2.1175
i64,random_uniform,boost_block,256,256,64,46521.0,46111.0,0.7099
i64,random_uniform,fulcrum,256,256,64,33370.0,32961.0,0.5092
i64,random_uniform,block_simd_amd,256,256,64,47321.0,46851.0,0.7221
i64,random_uniform,sized,256,256,64,40941.0,40671.0,0.6247
i64,random_uniform,std_partition,1024,64,64,135673.0,133753.0,2.0702
i64,random_uniform,lomuto,1024,64,64,118492.0,117393.0,1.8080
i64,random_uniform,lomuto_branchless,1024,64,64,40291.0,39921.0,0.6148
i64,random_uniform,hoare,1024,64,64,145334.0,142893.0,2.2176
i64,random_uniform,hoare_guarded,1024,64,64,139494.0,137813.0,2.1285
i64,random_uniform,block,1024,64,64,48781.0,48332.0,0.7443
i64,random_uniform,boost_block,1024,64,64,32500.0,32211.0,0.4959
i64,random_uniform,fulcrum,1024,64,64,29601.0,29441.0,0.4517
i64,random_uniform,block_simd_amd,1024,64,64,28311.0,27930.0,0.4320
i64,random_uniform,sized,1024,64,64,32510.0,32271.0,0.4961
i64,random_uniform,std_partition,4096,16,64,124173.0,122353.0,1.8947
i64,random_uniform,lomuto,4096,16,64,106863.0,105973.0,1.6306
i64,random_uniform,lomuto_branchless,4096,16,64,40781.0,40511.0,0.6223
i64,random_uniform,hoare,4096,16,64,134653.0,132043.0,2.0546
i64,random_uniform,hoare_guarded,4096,16,64,129593.0,128403.0,1.9774
i64,random_uniform,block,4096,16,64,43231.0,42880.0,0.6597
i64,random_uniform,boost_block,4096,16,64,29520.0,29111.0,0.4504
i64,random_uniform,fulcrum,4096,16,64,29241.0,29141.0,0.4462
i64,random_uniform,block_simd_amd,4096,16,64,24761.0,23991.0,0.3778
i64,random_uniform,sized,4096,16,64,30371.0,29220.0,0.4634
i64,random_uniform,std_partition,65536,1,64,135243.0,134433.0,2.0636
i64,random_uniform,lomuto,65536,1,64,124113.0,123082.0,1.8938
i64,random_uniform,lomuto_branchless,65536,1,64,40821.0,40561.0,0.6229
i64,random_uniform,hoare,65536,1,64,156273.0,154464.0,2.3845
i64,random_uniform,hoare_guarded,65536,1,64,140123.0,138923.0,2.1381
i64,random_uniform,block,65536,1,64,42421.0,42231.0,0.6473
i64,random_uniform,boost_block,65536,1,64,30821.0,30491.0,0.4703
i64,random_uniform,fulcrum,65536,1,64,29121.0,28901.0,0.4444
i64,random_uniform,block_simd_amd,65536,1,64,25321.0,25050.0,0.3864
i64,random_uniform,sized,65536,1,64,30601.0,30331.0,0.4669
i64,random_uniform,std_partition,262144,1,16,539003.0,531853.0,2.0561
i64,random_uniform,lomuto,262144,1,16,398569.0,385179.0,1.5204
