type,dist,config,ns_per_elem
i64,random_uniform,ninther.T8,17.8403
i64,random_uniform,ninther.T12,17.0530
i64,random_uniform,ninther.T16,16.4395
i64,random_uniform,ninther.T20,16.3205
i64,random_uniform,ninther.T24,15.9463
i64,random_uniform,m5<=256|nin,17.3045
i64,random_uniform,nin|m5m5>4k,16.4302
i64,random_uniform,nin|m5m5>64k,16.3244
i64,random_uniform,m5<=256|nin|m5m5>64k,17.4117
i64,random_uniform,m3<=64|nin|m5m5>64k,15.4985
i64,sorted_descending,ninther.T8,8.7085
i64,sorted_descending,ninther.T12,8.6596
i64,sorted_descending,ninther.T16,8.8594
i64,sorted_descending,ninther.T20,9.1250
i64,sorted_descending,ninther.T24,9.1243
i64,sorted_descending,m5<=256|nin,11.0913
i64,sorted_descending,nin|m5m5>4k,9.0017
i64,sorted_descending,nin|m5m5>64k,9.0952
i64,sorted_descending,m5<=256|nin|m5m5>64k,11.1444
i64,sorted_descending,m3<=64|nin|m5m5>64k,13.7528
pair64,random_uniform,ninther.T8,41.2977
pair64,random_uniform,ninther.T12,39.4962
pair64,random_uniform,ninther.T16,38.2582
pair64,random_uniform,ninther.T20,37.3690
pair64,random_uniform,ninther.T24,37.0489
pair64,random_uniform,m5<=256|nin,38.8776
pair64,random_uniform,nin|m5m5>4k,38.3712
pair64,random_uniform,nin|m5m5>64k,38.2801
pair64,random_uniform,m5<=256|nin|m5m5>64k,38.5025
pair64,random_uniform,m3<=64|nin|m5m5>64k,37.3339
pair64,sorted_descending,ninther.T8,17.4111
pair64,sorted_descending,ninther.T12,17.2072
pair64,sorted_descending,ninther.T16,17.4898
pair64,sorted_descending,ninther.T20,17.3410
pair64,sorted_descending,ninther.T24,17.4644
pair64,sorted_descending,m5<=256|nin,18.9923
pair64,sorted_descending,nin|m5m5>4k,17.5389
pair64,sorted_descending,nin|m5m5>64k,17.4309
pair64,sorted_descending,m5<=256|nin|m5m5>64k,18.6712
pair64,sorted_descending,m3<=64|nin|m5m5>64k,25.1250
pair64f,random_uniform,ninther.T8,72.1323
pair64f,random_uniform,ninther.T12,71.7209
pair64f,random_uniform,ninther.T16,71.5789
pair64f,random_uniform,ninther.T20,71.3682
pair64f,random_uniform,ninther.T24,71.5263
pair64f,random_uniform,m5<=256|nin,73.5124
pair64f,random_uniform,nin|m5m5>4k,70.1717
pair64f,random_uniform,nin|m5m5>64k,70.1448
pair64f,random_uniform,m5<=256|nin|m5m5>64k,73.5614
pair64f,random_uniform,m3<=64|nin|m5m5>64k,70.8842
pair64f,sorted_descending,ninther.T8,68.4113
pair64f,sorted_descending,ninther.T12,68.0853
pair64f,sorted_descending,ninther.T16,67.9535
pair64f,sorted_descending,ninther.T20,67.7285
pair64f,sorted_descending,ninther.T24,67.8658
pair64f,sorted_descending,m5<=256|nin,69.6737
pair64f,sorted_descending,nin|m5m5>4k,66.5447
pair64f,sorted_descending,nin|m5m5>64k,66.6368
pair64f,sorted_descending,m5<=256|nin|m5m5>64k,70.1215
pair64f,sorted_descending,m3<=64|nin|m5m5>64k,67.4571
