type,n,strategy,select_npe,total_npe,partition_npe,balance
i64,64,m3m3_find,0.1292,1.0011,0.8719,0.3438
i64,64,m3m3_swap,0.1248,0.9889,0.8641,0.3438
i64,64,m5m5_find,0.5577,1.8660,1.3083,0.4844
i64,64,m5m5_swap,0.6114,2.1743,1.5628,0.4844
i64,256,m3m3_find,0.0359,0.7272,0.6914,0.7617
i64,256,m3m3_swap,0.0363,0.7416,0.7053,0.7617
i64,256,m5m5_find,0.1381,0.8313,0.6932,0.7617
i64,256,m5m5_swap,0.1602,0.8554,0.6952,0.7617
i64,1024,m3m3_find,0.0105,0.5136,0.5031,0.4502
i64,1024,m3m3_swap,0.0107,0.5181,0.5074,0.4502
i64,1024,m5m5_find,0.0374,0.5553,0.5179,0.6768
i64,1024,m5m5_swap,0.0426,0.5670,0.5245,0.6768
i64,4096,m3m3_find,0.0038,0.4619,0.4581,0.7278
i64,4096,m3m3_swap,0.0162,0.4706,0.4544,0.7278
i64,4096,m5m5_find,0.0095,0.4999,0.4904,0.5210
i64,4096,m5m5_swap,0.0119,0.5011,0.4892,0.5210
i64,65536,m3m3_find,0.0006,0.4706,0.4700,0.4861
i64,65536,m3m3_swap,0.0006,0.4695,0.4689,0.4861
i64,65536,m5m5_find,0.0009,0.4723,0.4714,0.4770
i64,65536,m5m5_swap,0.0009,0.4733,0.4724,0.4770
i64,262144,m3m3_find,0.0002,0.4800,0.4799,0.4644
i64,262144,m3m3_swap,0.0002,0.4849,0.4847,0.4644
i64,262144,m5m5_find,0.0003,0.4873,0.4871,0.4437
i64,262144,m5m5_swap,0.0003,0.4861,0.4859,0.4437
i64,1048576,m3m3_find,0.0001,0.4763,0.4762,0.3426
i64,1048576,m3m3_swap,0.0001,0.4799,0.4798,0.3426
i64,1048576,m5m5_find,0.0001,0.4802,0.4801,0.5777
i64,1048576,m5m5_swap,0.0001,0.4859,0.4858,0.5777
i64,4194304,m3m3_find,0.0001,0.5432,0.5432,0.2723
i64,4194304,m3m3_swap,0.0001,0.5472,0.5471,0.2723
i64,4194304,m5m5_find,0.0001,0.5543,0.5542,0.2912
i64,4194304,m5m5_swap,0.0001,0.5440,0.5439,0.2912
pair64,64,m3m3_find,0.2855,1.9880,1.7025,0.3438
pair64,64,m3m3_swap,0.3098,2.1613,1.8515,0.3438
pair64,64,m5m5_find,2.4328,4.1819,1.7492,0.4844
pair64,64,m5m5_swap,3.1116,4.8071,1.6954,0.4844
pair64,256,m3m3_find,0.0737,1.4189,1.3452,0.7617
pair64,256,m3m3_swap,0.0803,1.4383,1.3581,0.7617
pair64,256,m5m5_find,0.3340,1.7238,1.3898,0.7617
pair64,256,m5m5_swap,0.3842,1.7795,1.3953,0.7617
pair64,1024,m3m3_find,0.0209,1.5456,1.5247,0.4502
pair64,1024,m3m3_swap,0.0183,1.5293,1.5110,0.4502
pair64,1024,m5m5_find,0.0746,1.7914,1.7168,0.6768
pair64,1024,m5m5_swap,0.0708,1.8012,1.7304,0.6768
pair64,4096,m3m3_find,0.0052,0.8243,0.8191,0.7278
pair64,4096,m3m3_swap,0.0119,0.8121,0.8002,0.7278
pair64,4096,m5m5_find,0.0154,0.8608,0.8454,0.5210
pair64,4096,m5m5_swap,0.0177,0.8598,0.8421,0.5210
pair64,65536,m3m3_find,0.0008,0.8319,0.8312,0.4861
pair64,65536,m3m3_swap,0.0008,0.8286,0.8278,0.4861
pair64,65536,m5m5_find,0.0014,0.8185,0.8171,0.4770
pair64,65536,m5m5_swap,0.0015,0.8116,0.8101,0.4770
pair64,262144,m3m3_find,0.0002,0.8264,0.8262,0.4644
pair64,262144,m3m3_swap,0.0002,0.8253,0.8251,0.4644
pair64,262144,m5m5_find,0.0003,0.8199,0.8196,0.4437
pair64,262144,m5m5_swap,0.0003,0.8368,0.8364,0.4437
pair64,1048576,m3m3_find,0.0002,0.8302,0.8301,0.3426
pair64,1048576,m3m3_swap,0.0001,0.8198,0.8197,0.3426
pair64,1048576,m5m5_find,0.0002,0.8335,0.8333,0.5777
pair64,1048576,m5m5_swap,0.0001,0.8502,0.8501,0.5777
pair64,4194304,m3m3_find,0.0001,1.0076,1.0075,0.2723
pair64,4194304,m3m3_swap,0.0001,1.0070,1.0069,0.2723
pair64,4194304,m5m5_find,0.0001,1.0061,1.0060,0.2912
pair64,4194304,m5m5_swap,0.0001,1.0053,1.0052,0.2912
