type,distribution,strategy,n,reps,median_ns,ns_per_elem,smaller_fraction
i64,random_uniform,first,8,500,20.0,2.5000,0.2500
i64,random_uniform,middle,8,500,20.0,2.5000,0.0000
i64,random_uniform,last,8,500,20.0,2.5000,0.2500
i64,random_uniform,median_of_3,8,500,20.0,2.5000,0.2500
i64,random_uniform,median_of_5,8,500,30.0,3.7500,0.2500
i64,random_uniform,ninther,8,500,20.0,2.5000,0.2500
i64,random_uniform,median_of_5_medians_of_5,8,500,30.0,3.7500,0.2500
i64,random_uniform,median_of_5_medians_of_5_898,8,500,30.0,3.7500,0.2500
i64,random_uniform,median_of_5_medians_of_3,8,500,30.0,3.7500,0.2500
i64,random_uniform,median_of_3_medians_of_5,8,500,30.0,3.7500,0.2500
i64,random_uniform,median_of_medians_5,8,500,80.0,10.0000,0.6250
i64,random_uniform,random,8,500,20.0,2.5000,0.2500
i64,random_uniform,midpoint_min_max,8,500,20.0,2.5000,0.2500
i64,random_uniform,midpoint_first_last,8,500,20.0,2.5000,0.2500
i64,random_uniform,median_of_3_inplace,8,500,20.0,2.5000,0.2500
i64,random_uniform,median_of_medians_5_inplace,8,500,40.0,5.0000,0.2500
i64,random_uniform,pseudo15,8,500,30.0,3.7500,0.2500
i64,random_uniform,pseudo15_s5,8,500,30.0,3.7500,0.2500
i64,random_uniform,pseudo9,8,500,20.0,2.5000,0.2500
i64,random_uniform,pseudo9_s1,8,500,20.0,2.5000,0.2500
i64,random_uniform,pseudo9_s2,8,500,20.0,2.5000,0.2500
i64,random_uniform,pseudo9_s3,8,500,20.0,2.5000,0.2500
i64,random_uniform,pseudo9_s4,8,500,20.0,2.5000,0.2500
i64,random_uniform,pseudo9_s5,8,500,20.0,2.5000,0.2500
i64,random_uniform,sorting_network_9,8,500,30.0,3.7500,0.2500
i64,random_uniform,first,16,500,20.0,1.2500,0.3750
i64,random_uniform,middle,16,500,20.0,1.2500,0.5000
i64,random_uniform,last,16,500,20.0,1.2500,0.0000
i64,random_uniform,median_of_3,16,500,20.0,1.2500,0.3750
i64,random_uniform,median_of_5,16,500,40.0,2.5000,0.3750
i64,random_uniform,ninther,16,500,20.0,1.2500,0.5000
i64,random_uniform,median_of_5_medians_of_5,16,500,40.0,2.5000,0.3750
i64,random_uniform,median_of_5_medians_of_5_898,16,500,40.0,2.5000,0.3750
i64,random_uniform,median_of_5_medians_of_3,16,500,30.0,1.8750,0.5000
i64,random_uniform,median_of_3_medians_of_5,16,500,70.0,4.3750,0.5000
i64,random_uniform,median_of_medians_5,16,500,70.0,4.3750,0.5000
i64,random_uniform,random,16,500,20.0,1.2500,0.8125
i64,random_uniform,midpoint_min_max,16,500,20.0,1.2500,0.3750
i64,random_uniform,midpoint_first_last,16,500,20.0,1.2500,0.3125
i64,random_uniform,median_of_3_inplace,16,500,20.0,1.2500,0.3750
i64,random_uniform,median_of_medians_5_inplace,16,500,110.0,6.8750,0.5000
i64,random_uniform,pseudo15,16,500,30.0,1.8750,0.5000
i64,random_uniform,pseudo15_s5,16,500,30.0,1.8750,0.5000
i64,random_uniform,pseudo9,16,500,20.0,1.2500,0.3750
i64,random_uniform,pseudo9_s1,16,500,20.0,1.2500,0.5000
i64,random_uniform,pseudo9_s2,16,500,20.0,1.2500,0.5000
i64,random_uniform,pseudo9_s3,16,500,20.0,1.2500,0.5000
i64,random_uniform,pseudo9_s4,16,500,20.0,1.2500,0.6250
i64,random_uniform,pseudo9_s5,16,500,20.0,1.2500,0.6250
i64,random_uniform,sorting_network_9,16,500,20.0,1.2500,0.5000
i64,random_uniform,first,64,500,20.0,0.3125,0.2812
i64,random_uniform,middle,64,500,20.0,0.3125,0.1875
i64,random_uniform,last,64,500,20.0,0.3125,0.3906
i64,random_uniform,median_of_3,64,500,20.0,0.3125,0.2812
i64,random_uniform,median_of_5,64,500,30.0,0.4688,0.3906
i64,random_uniform,ninther,64,500,20.0,0.3125,0.2812
i64,random_uniform,median_of_5_medians_of_5,64,500,90.0,1.4062,0.5781
i64,random_uniform,median_of_5_medians_of_5_898,64,500,70.0,1.0938,0.4375
i64,random_uniform,median_of_5_medians_of_3,64,500,30.0,0.4688,0.3438
i64,random_uniform,median_of_3_medians_of_5,64,500,60.0,0.9375,0.3438
i64,random_uniform,median_of_medians_5,64,500,170.0,2.6562,0.5312
i64,random_uniform,random,64,500,20.0,0.3125,0.5000
i64,random_uniform,midpoint_min_max,64,500,30.0,0.4688,0.5938
i64,random_uniform,midpoint_first_last,64,500,20.0,0.3125,0.3750
i64,random_uniform,median_of_3_inplace,64,500,20.0,0.3125,0.2812
i64,random_uniform,median_of_medians_5_inplace,64,500,330.0,5.1562,0.5000
i64,random_uniform,pseudo15,64,500,30.0,0.4688,0.3438
i64,random_uniform,pseudo15_s5,64,500,30.0,0.4688,0.3438
i64,random_uniform,pseudo9,64,500,20.0,0.3125,0.7188
i64,random_uniform,pseudo9_s1,64,500,20.0,0.3125,0.7188
i64,random_uniform,pseudo9_s2,64,500,20.0,0.3125,0.7188
i64,random_uniform,pseudo9_s3,64,500,20.0,0.3125,0.7188
i64,random_uniform,pseudo9_s4,64,500,20.0,0.3125,0.7188
i64,random_uniform,pseudo9_s5,64,500,20.0,0.3125,0.4844
i64,random_uniform,sorting_network_9,64,500,20.0,0.3125,0.7188
