type,n,partitioner,ns_per_elem
i64,65536,hoare,5.3721
i64,65536,lomuto_branchless,1.3367
i64,65536,block,1.3871
i64,65536,boost_block,0.9975
i64,65536,fulcrum,1.0889
i64,65536,sized,0.9951
i64,262144,hoare,6.5051
i64,262144,lomuto_branchless,1.6716
i64,262144,block,1.9271
i64,262144,boost_block,1.4036
i64,262144,fulcrum,1.2281
i64,262144,sized,1.4062
i64,1048576,hoare,4.7118
i64,1048576,lomuto_branchless,1.5842
i64,1048576,block,1.3350
i64,1048576,boost_block,1.2071
i64,1048576,fulcrum,1.1373
i64,1048576,sized,1.2094
i64,4194304,hoare,3.9833
i64,4194304,lomuto_branchless,1.3974
i64,4194304,block,1.2056
i64,4194304,boost_block,0.9757
i64,4194304,fulcrum,1.3290
i64,4194304,sized,0.9752
pair64,65536,hoare,5.2314
pair64,65536,lomuto_branchless,1.8973
pair64,65536,block,2.3699
pair64,65536,boost_block,1.8492
pair64,65536,fulcrum,2.1497
pair64,65536,sized,1.8486
pair64,262144,hoare,5.6046
pair64,262144,lomuto_branchless,1.9693
pair64,262144,block,2.4847
pair64,262144,boost_block,1.8724
pair64,262144,fulcrum,2.2649
pair64,262144,sized,1.8806
pair64,1048576,hoare,5.7521
pair64,1048576,lomuto_branchless,2.0151
pair64,1048576,block,2.6387
pair64,1048576,boost_block,2.1073
pair64,1048576,fulcrum,1.9795
pair64,1048576,sized,2.1172
pair64,4194304,hoare,5.6275
pair64,4194304,lomuto_branchless,2.4957
pair64,4194304,block,2.8672
pair64,4194304,boost_block,2.2748
pair64,4194304,fulcrum,2.0479
pair64,4194304,sized,2.2790
pair64f,65536,hoare,5.2313
pair64f,65536,lomuto_branchless,2.3961
pair64f,65536,block,1.7336
pair64f,65536,boost_block,1.1434
pair64f,65536,fulcrum,1.5958
pair64f,65536,sized,1.1368
pair64f,262144,hoare,5.5108
pair64f,262144,lomuto_branchless,1.7173
pair64f,262144,block,1.7018
pair64f,262144,boost_block,1.3004
pair64f,262144,fulcrum,1.9338
pair64f,262144,sized,1.2997
pair64f,1048576,hoare,5.4668
pair64f,1048576,lomuto_branchless,1.9068
pair64f,1048576,block,1.7123
pair64f,1048576,boost_block,1.3103
pair64f,1048576,fulcrum,2.0803
pair64f,1048576,sized,1.3211
pair64f,4194304,hoare,5.1317
pair64f,4194304,lomuto_branchless,2.4816
pair64f,4194304,block,1.9300
pair64f,4194304,boost_block,1.9884
pair64f,4194304,fulcrum,2.1747
pair64f,4194304,sized,1.8572
