type,dist,n,algo,ns_per_elem
i64,random_uniform,4194304,design_pure_m3_boost_T0,25.9045
i64,random_uniform,4194304,design_halver_T24,19.3888
i64,random_uniform,4194304,design_sized_T16,16.6979
i64,random_uniform,4194304,design_adaptive_T16,16.3773
i64,random_uniform,4194304,quicksort,17.0293
i64,random_uniform,4194304,std_sort,48.6488
i64,random_uniform,16777216,quicksort,18.2442
i64,random_uniform,16777216,std_sort,54.0770
i64,random_uniform,67108864,quicksort,19.5543
i64,random_uniform,67108864,std_sort,57.4943
i64,sorted_ascending,4194304,quicksort,9.6544
i64,sorted_ascending,4194304,std_sort,7.6736
i64,sorted_descending,4194304,quicksort,10.8959
i64,sorted_descending,4194304,std_sort,5.6128
i64,few_unique,4194304,quicksort,313.4781
i64,few_unique,4194304,std_sort,29.9882
i64,organ_pipe,4194304,quicksort,15.3772
i64,organ_pipe,4194304,std_sort,42.7240
pair64,random_uniform,4194304,design_pure_m3_boost_T0,44.2981
pair64,random_uniform,4194304,design_halver_T24,39.4768
pair64,random_uniform,4194304,design_sized_T16,40.3736
pair64,random_uniform,4194304,design_adaptive_T16,39.7012
pair64,random_uniform,4194304,quicksort,39.2942
pair64,random_uniform,4194304,std_sort,71.2407
pair64,random_uniform,16777216,quicksort,41.8221
pair64,random_uniform,16777216,std_sort,76.6215
pair64,random_uniform,67108864,quicksort,44.0878
pair64,random_uniform,67108864,std_sort,82.5248
pair64,sorted_ascending,4194304,quicksort,17.0755
pair64,sorted_ascending,4194304,std_sort,16.9440
pair64,sorted_descending,4194304,quicksort,18.6273
pair64,sorted_descending,4194304,std_sort,11.5456
pair64,few_unique,4194304,quicksort,695.8361
pair64,few_unique,4194304,std_sort,51.6065
pair64,organ_pipe,4194304,quicksort,31.0899
pair64,organ_pipe,4194304,std_sort,79.6517
pair64f,random_uniform,4194304,design_pure_m3_boost_T0,72.7596
pair64f,random_uniform,4194304,design_halver_T24,72.5156
pair64f,random_uniform,4194304,design_sized_T16,73.9973
pair64f,random_uniform,4194304,design_adaptive_T16,72.7716
pair64f,random_uniform,4194304,quicksort,74.7345
pair64f,random_uniform,4194304,std_sort,36.8185
pair64f,random_uniform,16777216,quicksort,77.1718
pair64f,random_uniform,16777216,std_sort,41.0142
