section,type,dist,n,route,ns_per_elem
partition,i64,random_uniform,8,fwd,0.6029
partition,i64,random_uniform,8,rev_rw,0.5913
partition,i64,random_uniform,8,rev_neg,0.6122
partition,i64,random_uniform,8,rev_view,0.7355
partition,i64,random_uniform,16,fwd,0.6119
partition,i64,random_uniform,16,rev_rw,0.6089
partition,i64,random_uniform,16,rev_neg,0.6162
partition,i64,random_uniform,16,rev_view,0.6925
partition,i64,random_uniform,24,fwd,0.6162
partition,i64,random_uniform,24,rev_rw,0.6146
partition,i64,random_uniform,24,rev_neg,0.6172
partition,i64,random_uniform,24,rev_view,0.6794
partition,i64,random_uniform,64,fwd,0.6209
partition,i64,random_uniform,64,rev_rw,0.6198
partition,i64,random_uniform,64,rev_neg,0.6198
partition,i64,random_uniform,64,rev_view,0.7358
partition,i64,random_uniform,256,fwd,0.6229
partition,i64,random_uniform,256,rev_rw,0.6261
partition,i64,random_uniform,256,rev_neg,0.6259
partition,i64,random_uniform,256,rev_view,0.6886
partition,i64,random_uniform,1024,fwd,0.5072
partition,i64,random_uniform,1024,rev_rw,0.5049
partition,i64,random_uniform,1024,rev_neg,0.5023
partition,i64,random_uniform,1024,rev_view,0.8533
partition,i64,random_uniform,4096,fwd,0.4511
partition,i64,random_uniform,4096,rev_rw,0.4492
partition,i64,random_uniform,4096,rev_neg,0.4480
partition,i64,random_uniform,4096,rev_view,0.7982
partition,i64,random_uniform,65536,fwd,0.4709
partition,i64,random_uniform,65536,rev_rw,0.4672
partition,i64,random_uniform,65536,rev_neg,0.4703
partition,i64,random_uniform,65536,rev_view,0.9566
partition,i64,random_uniform,262144,fwd,0.4498
partition,i64,random_uniform,262144,rev_rw,0.4479
partition,i64,random_uniform,262144,rev_neg,0.4524
partition,i64,random_uniform,262144,rev_view,0.6482
partition,i64,random_uniform,1048576,fwd,0.4869
partition,i64,random_uniform,1048576,rev_rw,0.4905
partition,i64,random_uniform,1048576,rev_neg,0.4903
partition,i64,random_uniform,1048576,rev_view,0.9178
partition,i64,random_uniform,4194304,fwd,0.5192
partition,i64,random_uniform,4194304,rev_rw,0.5231
partition,i64,random_uniform,4194304,rev_neg,0.5634
partition,i64,random_uniform,4194304,rev_view,1.0383
quicksort,i64,random_uniform,4096,qs_fwd,10.0151
quicksort,i64,random_uniform,4096,qs_rev_rw,10.6765
quicksort,i64,random_uniform,4096,qs_rev_view,13.0061
quicksort,i64,random_uniform,1048576,qs_fwd,16.2455
quicksort,i64,random_uniform,1048576,qs_rev_rw,16.2889
quicksort,i64,random_uniform,1048576,qs_rev_view,22.4203
quicksort,i64,random_uniform,4194304,qs_fwd,17.3544
