type,n,halve_ns,halve_reg_ns,sort_ns
i64,4,0.2658,0.2689,0.3215
pair64,4,0.9802,1.0222,1.1551
pair64f,4,0.5806,0.5850,0.6401
i64,6,0.3229,0.3568,0.4598
pair64,6,1.2715,1.6063,1.8895
pair64f,6,0.7084,0.7972,1.0049
i64,8,0.4240,0.4512,0.5310
pair64,8,1.8360,1.8647,2.1480
pair64f,8,0.8746,0.9303,1.1154
i64,10,0.4876,0.5533,0.6536
pair64,10,2.0315,2.3590,2.7226
pair64f,10,1.0943,1.2451,1.4804
i64,12,0.5515,0.6215,0.7249
pair64,12,2.3649,2.6835,3.1155
pair64f,12,1.2454,1.3720,1.6360
i64,16,0.6656,0.7619,0.8432
pair64,16,3.0677,3.2723,3.6900
pair64f,16,1.5577,1.7449,2.0118
i64,20,0.7225,0.8141,1.0348
pair64,20,3.3168,3.4560,4.5346
pair64f,20,1.7076,1.8842,2.4399
i64,24,0.8420,0.9880,1.1713
pair64,24,3.8154,4.1419,5.3411
pair64f,24,2.0553,2.2259,2.7835
