type,case,algo,n,k,delta,total_ops,samples,min_ns,p50_ns,p90_ns,mean_ns,cv_pct
i64,a,extend_sorted,2,1,1,5013504,153,2.887,2.936,3.041,2.957,2.66
i64,a,extend_scan,2,1,1,5013504,153,4.843,4.902,5.010,4.920,1.18
i64,a,extend_bsearch,2,1,1,5013504,153,6.730,6.800,6.908,6.829,2.33
i64,a,sort_network,2,1,1,5013504,153,0.368,0.374,0.389,0.382,6.16
i64,a,std::sort,2,1,1,5013504,153,1.424,1.465,1.492,1.473,2.44
i64,b,extend_sorted,2,1,1,5013504,153,2.846,2.882,2.928,2.894,1.55
i64,b,merge_sorted,2,1,1,5013504,153,5.446,5.497,5.607,5.528,2.12
i64,b,merge_branchless,2,1,1,5013504,153,5.656,5.717,5.833,5.755,2.68
i64,b,sort_network,2,1,1,5013504,153,0.357,0.362,0.377,0.368,5.92
i64,b,std::inplace_merge,2,1,1,5013504,153,13.029,13.255,13.913,13.432,2.70
i64,b,std::merge,2,1,1,5013504,153,5.651,5.740,5.851,5.785,3.57
i64,a,extend_sorted,3,2,1,5002505,229,4.759,4.831,4.933,4.850,1.79
i64,a,extend_scan,3,2,1,5002505,229,7.020,7.155,7.314,7.181,1.75
i64,a,extend_bsearch,3,2,1,5002505,229,8.045,8.149,8.312,8.184,1.87
i64,a,sort_network,3,2,1,5002505,229,1.251,1.262,1.270,1.267,2.04
i64,a,std::sort,3,2,1,5002505,229,6.271,6.363,6.538,6.398,2.34
i64,b,extend_sorted,3,2,1,5002505,229,4.764,4.834,4.964,4.850,1.48
i64,b,merge_sorted,3,2,1,5002505,229,6.630,6.734,6.913,6.764,1.44
i64,b,merge_branchless,3,2,1,5002505,229,7.021,7.092,7.248,7.121,2.15
i64,b,sort_network,3,2,1,5002505,229,1.252,1.260,1.269,1.266,2.23
i64,b,std::inplace_merge,3,2,1,5002505,229,14.575,14.882,15.079,14.944,2.73
i64,b,std::merge,3,2,1,5002505,229,7.462,7.572,7.761,7.619,2.32
i64,a,extend_sorted,3,1,2,5002505,229,7.484,7.575,7.730,7.658,11.84
i64,a,extend_scan,3,1,2,5002505,229,11.344,11.534,11.708,11.562,1.45
i64,a,extend_bsearch,3,1,2,5002505,229,13.937,14.144,14.312,14.158,0.72
i64,a,sort_network,3,1,2,5002505,229,1.245,1.258,1.264,1.266,3.00
i64,a,std::sort,3,1,2,5002505,229,8.743,8.890,9.059,8.916,1.27
i64,b,extend_sorted,3,1,2,5002505,229,5.264,5.336,5.477,5.356,1.31
i64,b,merge_sorted,3,1,2,5002505,229,8.888,8.979,9.156,9.007,0.95
i64,b,merge_branchless,3,1,2,5002505,229,8.963,9.075,9.233,9.108,1.13
i64,b,sort_network,3,1,2,5002505,229,1.251,1.263,1.271,1.268,2.41
i64,b,std::inplace_merge,3,1,2,5002505,229,14.687,14.862,15.033,14.895,1.05
i64,b,std::merge,3,1,2,5002505,229,7.520,7.622,7.753,7.649,1.25
i64,a,extend_sorted,4,3,1,5013504,306,5.388,5.482,5.546,5.502,1.38
i64,a,extend_scan,4,3,1,5013504,306,7.239,7.371,7.577,7.396,1.27
i64,a,extend_bsearch,4,3,1,5013504,306,9.714,9.877,10.108,9.914,1.33
i64,a,sort_network,4,3,1,5013504,306,1.402,1.422,1.431,1.426,2.09
i64,a,std::sort,4,3,1,5013504,306,7.794,7.960,8.180,7.991,2.41
i64,b,extend_sorted,4,3,1,5013504,306,5.361,5.446,5.635,5.468,1.51
i64,b,merge_sorted,4,3,1,5013504,306,7.492,7.752,7.939,7.755,1.83
i64,b,merge_branchless,4,3,1,5013504,306,7.980,8.079,8.308,8.113,1.33
i64,b,sort_network,4,3,1,5013504,306,1.399,1.420,1.429,1.427,2.85
i64,b,std::inplace_merge,4,3,1,5013504,306,15.508,15.734,15.967,15.804,1.78
i64,b,std::merge,4,3,1,5013504,306,8.408,8.567,8.777,8.603,1.52
i64,a,extend_sorted,4,2,2,5013504,306,9.414,9.545,9.734,9.571,1.17
i64,a,extend_scan,4,2,2,5013504,306,13.619,13.862,14.110,13.891,1.22
i64,a,extend_bsearch,4,2,2,5013504,306,16.993,17.405,17.627,17.413,1.07
i64,a,sort_network,4,2,2,5013504,306,1.404,1.419,1.430,1.428,3.07
i64,a,std::sort,4,2,2,5013504,306,12.383,12.638,12.872,12.672,1.29
i64,b,extend_sorted,4,2,2,5013504,306,7.478,7.573,7.745,7.596,1.14
i64,b,merge_sorted,4,2,2,5013504,306,12.010,12.184,12.398,12.220,0.90
i64,b,merge_branchless,4,2,2,5013504,306,12.739,12.911,13.132,12.976,4.50
i64,b,sort_network,4,2,2,5013504,306,1.409,1.425,1.435,1.435,4.71
i64,b,std::inplace_merge,4,2,2,5013504,306,20.034,20.275,20.512,20.307,0.84
i64,b,std::merge,4,2,2,5013504,306,10.269,10.458,10.668,10.489,1.06
i64,a,extend_sorted,4,1,3,5013504,306,12.115,12.250,12.476,12.290,1.33
i64,a,extend_scan,4,1,3,5013504,306,18.374,18.651,18.931,18.693,1.58
i64,a,extend_bsearch,4,1,3,5013504,306,23.015,23.312,23.626,23.354,0.83
i64,a,sort_network,4,1,3,5013504,306,1.404,1.420,1.430,1.425,2.33
i64,a,std::sort,4,1,3,5013504,306,14.995,15.224,15.455,15.257,1.08
i64,b,extend_sorted,4,1,3,5013504,306,6.201,6.286,6.470,6.310,1.33
i64,b,merge_sorted,4,1,3,5013504,306,9.978,10.115,10.323,10.145,1.02
i64,b,merge_branchless,4,1,3,5013504,306,10.608,10.703,10.911,10.733,0.93
i64,b,sort_network,4,1,3,5013504,306,1.403,1.417,1.427,1.422,2.45
i64,b,std::inplace_merge,4,1,3,5013504,306,15.415,15.570,15.801,15.669,6.62
i64,b,std::merge,4,1,3,5013504,306,8.476,8.562,8.768,8.606,1.68
i64,a,extend_sorted,5,4,1,5006874,382,6.518,6.611,6.900,6.667,2.05
i64,a,extend_scan,5,4,1,5006874,382,8.596,8.716,9.033,8.783,1.94
i64,a,extend_bsearch,5,4,1,5006874,382,10.164,10.335,10.731,10.445,3.17
i64,a,sort_network,5,4,1,5006874,382,1.417,1.434,1.489,1.451,4.08
i64,a,std::sort,5,4,1,5006874,382,9.483,9.610,9.960,9.685,1.97
i64,b,extend_sorted,5,4,1,5006874,382,6.316,6.397,6.677,6.447,1.90
i64,b,merge_sorted,5,4,1,5006874,382,8.091,8.230,8.559,8.293,2.10
i64,b,merge_branchless,5,4,1,5006874,382,9.266,9.376,9.735,9.454,2.04
i64,b,sort_network,5,4,1,5006874,382,1.426,1.444,1.504,1.462,4.08
i64,b,std::inplace_merge,5,4,1,5006874,382,15.909,16.183,16.597,16.284,1.77
i64,b,std::merge,5,4,1,5006874,382,9.457,9.706,10.068,9.779,2.45
i64,a,extend_sorted,5,3,2,5006874,382,11.552,11.701,11.968,11.741,1.21
i64,a,extend_scan,5,3,2,5006874,382,15.607,15.821,16.126,15.915,4.48
i64,a,extend_bsearch,5,3,2,5006874,382,19.224,19.519,19.816,19.552,0.88
i64,a,sort_network,5,3,2,5006874,382,1.418,1.432,1.447,1.441,3.23
i64,a,std::sort,5,3,2,5006874,382,13.789,13.962,14.242,14.015,1.14
i64,b,extend_sorted,5,3,2,5006874,382,9.662,9.792,10.052,9.834,1.26
i64,b,merge_sorted,5,3,2,5006874,382,13.109,13.430,13.694,13.465,1.10
i64,b,merge_branchless,5,3,2,5006874,382,13.634,13.829,14.098,13.867,0.98
i64,b,sort_network,5,3,2,5006874,382,1.427,1.440,1.450,1.452,3.79
i64,b,std::inplace_merge,5,3,2,5006874,382,22.500,22.766,23.038,22.812,0.82
i64,b,std::merge,5,3,2,5006874,382,12.466,12.662,12.951,12.717,1.26
i64,a,extend_sorted,5,2,3,5006874,382,15.685,15.917,16.196,15.954,1.05
i64,a,extend_scan,5,2,3,5006874,382,22.262,22.547,22.796,22.575,1.14
i64,a,extend_bsearch,5,2,3,5006874,382,26.699,27.101,27.456,27.156,1.07
i64,a,sort_network,5,2,3,5006874,382,1.420,1.435,1.457,1.448,3.79
i64,a,std::sort,5,2,3,5006874,382,18.571,18.936,19.231,18.983,1.26
i64,b,extend_sorted,5,2,3,5006874,382,10.325,10.525,10.751,10.559,1.67
i64,b,merge_sorted,5,2,3,5006874,382,13.625,13.921,14.185,13.953,1.12
i64,b,merge_branchless,5,2,3,5006874,382,14.748,14.963,15.208,14.995,0.96
i64,b,sort_network,5,2,3,5006874,382,1.421,1.438,1.471,1.455,4.61
i64,b,std::inplace_merge,5,2,3,5006874,382,21.636,21.935,22.211,21.960,0.88
i64,b,std::merge,5,2,3,5006874,382,12.498,12.680,12.923,12.715,1.12
i64,a,extend_sorted,5,1,4,5006874,382,18.473,18.688,19.003,18.738,1.00
i64,a,extend_scan,5,1,4,5006874,382,27.177,27.639,28.008,27.666,0.93
i64,a,extend_bsearch,5,1,4,5006874,382,32.875,33.338,33.703,33.375,0.81
i64,a,sort_network,5,1,4,5006874,382,1.416,1.431,1.440,1.435,2.25
i64,a,std::sort,5,1,4,5006874,382,21.110,21.382,21.673,21.476,3.33
i64,b,extend_sorted,5,1,4,5006874,382,8.035,8.142,8.351,8.173,2.10
i64,b,merge_sorted,5,1,4,5006874,382,11.160,11.429,11.639,11.433,1.43
i64,b,merge_branchless,5,1,4,5006874,382,12.869,13.036,13.263,13.084,1.32
i64,b,sort_network,5,1,4,5006874,382,1.418,1.431,1.441,1.438,3.03
i64,b,std::inplace_merge,5,1,4,5006874,382,15.966,16.153,16.446,16.185,0.95
i64,b,std::merge,5,1,4,5006874,382,9.562,9.683,9.921,9.719,1.41
i64,a,extend_sorted,6,5,1,5002276,458,6.111,6.184,6.220,6.205,1.46
i64,a,extend_scan,6,5,1,5002276,458,8.775,8.870,9.203,8.924,1.60
i64,a,extend_bsearch,6,5,1,5002276,458,10.943,11.069,11.379,11.117,1.66
i64,a,sort_network,6,5,1,5002276,458,1.965,1.986,1.994,1.994,2.75
i64,a,std::sort,6,5,1,5002276,458,11.462,11.647,11.976,11.694,1.23
i64,b,extend_sorted,6,5,1,5002276,458,6.006,6.085,6.126,6.113,1.96
i64,b,merge_sorted,6,5,1,5002276,458,8.846,8.983,9.247,9.017,1.44
i64,b,merge_branchless,6,5,1,5002276,458,11.124,11.203,11.563,11.263,1.50
i64,b,sort_network,6,5,1,5002276,458,1.971,1.993,2.003,2.006,3.59
i64,b,std::inplace_merge,6,5,1,5002276,458,16.109,16.393,16.804,16.456,1.10
i64,b,std::merge,6,5,1,5002276,458,9.720,9.845,10.130,9.889,1.70
i64,a,extend_sorted,6,4,2,5002276,458,11.542,11.940,12.093,11.940,1.49
